序号,订单号,订单类型,商品名称,订单日期,订单时间,起租日期,退租日期,结算日期,租金
50,WT_ZL_260128_00008,正常订单,【中级】全能板+青少全能,2026-01-28,11:01:39,2026-01-28,2026-01-28,2026-01-28,130.00
51,WT_ZL_260128_00007,正常订单,【其他】雪杖,2026-01-28,10:58:45,2026-01-28,2026-01-28,2026-01-28,50.00
52,WT_ZL_260128_00006,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-28,10:39:29,2026-01-28,2026-01-29,2026-01-30,360.00
53,WT_ZL_260128_00005,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-28,10:21:51,2026-01-28,2026-01-28,2026-01-28,180.00
54,WT_ZL_260128_00004,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-28,09:25:11,2026-01-28,2026-01-29,2026-01-29,360.00
55,WT_ZL_260128_00003,正常订单,小乌龟套装,2026-01-28,08:46:52,2026-01-28,2026-01-28,2026-01-28,50.00
56,WT_ZL_260128_00002,正常订单,【单板鞋】其他,2026-01-28,08:29:31,2026-01-28,2026-01-28,2026-01-28,120.00
57,WT_ZL_260128_00001,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-28,08:21:26,2026-01-28,2026-01-30,2026-01-30,200.00
58,QJ_ZL_260127_00003,正常订单,中级双板套餐,2026-01-27,16:03:08,2026-01-27,2026-01-29,2026-01-29,300.00
59,QJ_ZL_260127_00003,正常订单,普通单板套餐,2026-01-27,16:03:08,2026-01-27,2026-01-29,2026-01-29,150.00
60,QJ_ZL_260127_00002,正常订单,中级双板套餐,2026-01-27,15:36:44,2026-01-27,2026-01-28,2026-01-28,200.00
61,QJ_ZL_260127_00002,正常订单,【其他】雪杖,2026-01-27,15:36:44,2026-01-27,2026-01-28,2026-01-28,70.00
62,QJ_ZL_260127_00002,正常订单,【成人中端】雪服Nandn/Swagli/Trake,2026-01-27,15:36:44,2026-01-27,2026-01-28,2026-01-28,46.00
63,WT_ZL_260127_00016,正常订单,【高级】BurtonStepOn,2026-01-27,13:40:56,2026-01-27,2026-01-27,2026-01-27,260.00
64,NS_ZL_260127_00002,正常订单,【其他】普通单板,2026-01-27,13:02:25,2026-01-27,2026-01-29,2026-01-29,80.00
65,NS_ZL_260127_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-27,12:18:21,2026-01-27,2026-01-27,2026-01-27,140.00
66,NS_ZL_260127_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-27,12:18:21,2026-01-27,2026-01-27,2026-01-27,140.00
67,WT_ZL_260127_00015,正常订单,中级双板套餐,2026-01-27,12:10:52,2026-01-27,2026-01-28,2026-01-28,360.00
68,WT_ZL_260127_00015,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-27,12:10:52,2026-01-27,2026-01-28,2026-01-28,360.00
69,QJ_ZL_260127_00001,正常订单,中级双板套餐,2026-01-27,10:53:48,2026-01-27,2026-01-27,2026-01-27,120.00
70,QJ_ZL_260127_00001,正常订单,中级双板套餐,2026-01-27,10:53:48,2026-01-27,2026-01-27,2026-01-27,120.00
71,QJ_ZL_260127_00001,正常订单,中级双板套餐,2026-01-27,10:53:48,2026-01-27,2026-01-27,2026-01-27,120.00
72,QJ_ZL_260127_00001,正常订单,Nandn/Swagli/Trake雪服套装,2026-01-27,10:53:48,2026-01-27,2026-01-27,2026-01-27,38.00
73,QJ_ZL_260127_00001,正常订单,Nandn/Swagli/Trake雪服套装,2026-01-27,10:53:48,2026-01-27,2026-01-27,2026-01-27,38.00
74,QJ_ZL_260127_00001,正常订单,Nandn/Swagli/Trake雪服套装,2026-01-27,10:53:48,2026-01-27,2026-01-27,2026-01-27,38.00
75,WT_ZL_260127_00014,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-27,10:52:12,2026-01-27,2026-01-27,2026-01-27,180.00
76,WT_ZL_260127_00013,正常订单,【FIS】双板,2026-01-27,10:39:52,2026-01-27,2026-01-27,2026-01-27,260.00
77,WT_ZL_260127_00011,正常订单,中级双板套餐,2026-01-27,10:31:37,2026-01-27,2026-01-27,2026-01-27,200.00
78,WT_ZL_260127_00010,正常订单,【高级】BurtonStepOn,2026-01-27,10:13:28,2026-01-27,2026-01-28,2026-01-29,520.00
79,WT_ZL_260127_00009,正常订单,头盔,2026-01-27,10:10:30,2026-01-27,2026-01-27,2026-01-27,60.00
80,WT_ZL_260127_00007,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-27,09:52:40,2026-01-27,2026-01-27,2026-01-27,180.00
81,WT_ZL_260127_00006,正常订单,StockLi,2026-01-27,09:45:02,2026-01-27,2026-01-28,2026-01-29,520.00
82,WT_ZL_260127_00006,正常订单,【双板鞋】全品牌,2026-01-27,09:45:02,2026-01-27,2026-01-28,2026-01-29,120.00
83,WT_ZL_260126_00009,正常订单,【高级】BurtonStepOn,2026-01-26,17:57:56,2026-01-27,2026-01-28,2026-01-28,520.00
84,QJ_ZL_260126_00002,正常订单,【对讲机】小米/318,2026-01-26,17:55:58,2026-01-26,2026-01-26,2026-01-27,60.00
85,WT_ZL_260126_00007,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-26,10:35:50,2026-01-26,2026-01-27,2026-01-27,360.00
86,WT_ZL_260126_00006,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-26,10:05:43,2026-01-26,2026-01-27,2026-01-27,360.00
87,WT_ZL_260126_00005,正常订单,【中级】全能板+青少全能,2026-01-26,09:58:46,2026-01-26,2026-01-27,2026-01-27,260.00
88,WT_ZL_260126_00004,正常订单,【其他】普通单板,2026-01-26,09:52:24,2026-01-26,2026-01-27,2026-01-27,300.00
89,WT_ZL_260126_00003,正常订单,【中级】全能板+青少全能,2026-01-26,09:39:32,2026-01-26,2026-01-26,2026-01-26,150.00
90,WT_ZL_260126_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-26,08:52:48,2026-01-26,2026-01-27,2026-01-28,360.00
91,WT_ZL_260126_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-26,08:52:48,2026-01-26,2026-01-28,2026-01-28,540.00
92,WT_ZL_260126_00001,正常订单,头盔,2026-01-26,08:39:07,2026-01-26,2026-01-26,2026-01-26,70.00
93,WT_ZL_260125_00018,正常订单,雪镜,2026-01-25,18:32:34,2026-01-25,2026-01-25,2026-01-25,50.00
94,WT_ZL_260125_00017,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,17:52:07,2026-01-25,2026-01-26,2026-01-26,360.00
95,NS_ZL_260125_00006,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,17:27:19,2026-01-25,2026-01-25,2026-01-25,160.00
96,QJ_ZL_260125_00001,正常订单,中级双板套餐,2026-01-25,16:43:44,2026-01-25,2026-01-27,2026-01-27,300.00
97,QJ_ZL_260125_00001,正常订单,【成人中端】雪服Nandn/Swagli/Trake,2026-01-25,16:43:44,2026-01-27,2026-01-27,2026-01-27,16.00
98,QJ_ZL_260125_00001,正常订单,普通单板套餐,2026-01-25,16:43:44,2026-01-25,2026-01-27,2026-01-27,300.00
99,QJ_ZL_260125_00001,正常订单,【成人中端】雪服Nandn/Swagli/Trake,2026-01-25,16:43:44,2026-01-27,2026-01-27,2026-01-27,16.00
100,WT_ZL_260125_00016,正常订单,【双板鞋】全品牌,2026-01-25,13:28:44,2026-01-25,2026-01-25,2026-01-25,120.00
101,WT_ZL_260125_00013,正常订单,【中级】全能板+青少全能,2026-01-25,12:46:35,2026-01-25,2026-01-25,2026-01-25,130.00
102,WT_ZL_260125_00011,正常订单,【其他】雪杖,2026-01-25,11:38:27,2026-01-25,2026-01-25,2026-01-25,40.00
103,WT_ZL_260125_00010,正常订单,StockLi,2026-01-25,10:48:18,2026-01-25,2026-01-25,2026-01-25,300.00
104,WT_ZL_260125_00009,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,10:39:48,2026-01-25,2026-01-25,2026-01-25,220.00
105,WT_ZL_260125_00009,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,10:39:48,2026-01-25,2026-01-25,2026-01-25,220.00
106,NS_ZL_260125_00005,正常订单,【其他】普通单板,2026-01-25,10:34:25,2026-01-25,2026-01-25,2026-01-25,150.00
107,NS_ZL_260125_00004,正常订单,【其他】普通单板,2026-01-25,10:32:53,2026-01-25,2026-01-25,2026-01-25,150.00
108,WT_ZL_260125_00008,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-25,10:27:06,2026-01-25,2026-01-25,2026-01-25,60.00
109,WT_ZL_260125_00006,正常订单,【中级】全能板+青少全能,2026-01-25,10:09:53,2026-01-25,2026-01-25,2026-01-25,150.00
110,NS_ZL_260125_00003,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-25,10:01:48,2026-01-25,2026-01-25,2026-01-25,80.00
111,WT_ZL_260125_00005,正常订单,【双板鞋】全品牌,2026-01-25,09:50:24,2026-01-25,2026-01-25,2026-01-25,120.00
112,WT_ZL_260125_00004,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,09:49:08,2026-01-25,2026-01-25,2026-01-25,220.00
113,WT_ZL_260125_00003,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,09:13:22,2026-01-25,2026-01-25,2026-01-25,220.00
114,NS_ZL_260125_00002,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-25,09:11:11,2026-01-25,2026-01-25,2026-01-25,80.00
115,WT_ZL_260125_00001,正常订单,内穿护膝,2026-01-25,08:57:24,2026-01-25,2026-01-25,2026-01-25,50.00
116,NS_ZL_260125_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,08:52:47,2026-01-25,2026-01-25,2026-01-25,160.00
117,NS_ZL_260125_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-25,08:52:47,2026-01-25,2026-01-25,2026-01-25,150.00
118,WT_ZL_260124_00034,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,20:27:58,2026-01-24,2026-01-24,2026-01-24,180.00
119,QJ_ZL_260124_00003,正常订单,中级双板套餐,2026-01-24,18:45:02,2026-01-24,2026-01-25,2026-01-25,100.00
120,QJ_ZL_260124_00003,正常订单,中级双板套餐,2026-01-24,18:45:02,2026-01-24,2026-01-25,2026-01-25,100.00
121,QJ_ZL_260124_00003,正常订单,头盔,2026-01-24,18:45:02,2026-01-24,2026-01-25,2026-01-25,25.00
122,QJ_ZL_260124_00003,正常订单,头盔,2026-01-24,18:45:02,2026-01-24,2026-01-25,2026-01-25,25.00
123,QJ_ZL_260124_00003,正常订单,雪镜,2026-01-24,18:45:02,2026-01-24,2026-01-25,2026-01-25,25.00
124,QJ_ZL_260124_00003,正常订单,雪镜,2026-01-24,18:45:02,2026-01-24,2026-01-25,2026-01-25,25.00
125,WT_ZL_260124_00033,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,18:26:28,2026-01-24,2026-01-24,2026-01-24,180.00
126,WT_ZL_260124_00032,正常订单,中级双板套餐,2026-01-24,17:40:40,2026-01-25,2026-01-25,2026-01-25,180.00
127,WT_ZL_260124_00032,正常订单,头盔,2026-01-24,17:40:40,2026-01-25,2026-01-25,2026-01-25,60.00
128,WT_ZL_260124_00031,正常订单,高级双板套餐,2026-01-24,17:21:07,2026-01-24,2026-01-25,2026-01-25,540.00
129,WT_ZL_260124_00031,正常订单,头盔,2026-01-24,17:21:07,2026-01-24,2026-01-25,2026-01-25,120.00
130,QJ_ZL_260124_00002,正常订单,高级双板套餐,2026-01-24,16:24:50,2026-01-25,2026-01-29,2026-01-30,1000.00
131,NS_ZL_260124_00007,正常订单,小乌龟护膝,2026-01-24,15:28:25,2026-01-24,2026-01-24,2026-01-24,30.00
132,WT_ZL_260124_00030,正常订单,【中级】全能板+青少全能,2026-01-24,14:32:02,2026-01-24,2026-01-24,2026-01-24,130.00
133,WT_ZL_260124_00029,正常订单,【其他】普通单板,2026-01-24,14:23:58,2026-01-24,2026-01-24,2026-01-24,150.00
134,NS_ZL_260124_00006,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-24,14:06:59,2026-01-24,2026-01-24,2026-01-24,80.00
135,NS_ZL_260124_00005,正常订单,【其他】普通单板,2026-01-24,14:03:18,2026-01-24,2026-01-24,2026-01-24,100.00
136,NS_ZL_260124_00004,正常订单,小乌龟护臀,2026-01-24,13:49:30,2026-01-24,2026-01-24,2026-01-24,30.00
137,WT_ZL_260124_00028,正常订单,【其他】普通单板,2026-01-24,13:33:35,2026-01-24,2026-01-25,2026-01-25,300.00
138,WT_ZL_260124_00027,正常订单,【双板鞋】全品牌,2026-01-24,13:04:19,2026-01-24,2026-01-24,2026-01-24,110.00
139,NS_ZL_260124_00003,正常订单,【成人中端】雪服Awka小树/nobaday,2026-01-24,12:58:50,2026-01-24,2026-01-24,2026-01-24,70.00
140,WT_ZL_260124_00026,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-24,12:48:05,2026-01-25,2026-01-25,2026-01-25,60.00
141,NS_ZL_260124_00002,正常订单,【其他】普通单板,2026-01-24,12:38:02,2026-01-24,2026-01-24,2026-01-24,100.00
142,WT_ZL_260124_00025,正常订单,小乌龟套装,2026-01-24,12:28:25,2026-01-24,2026-01-24,2026-01-24,50.00
143,WT_ZL_260124_00024,正常订单,【其他】普通单板,2026-01-24,12:13:25,2026-01-24,2026-01-24,2026-01-24,150.00
144,WT_ZL_260124_00023,正常订单,【中级】全能板+青少全能,2026-01-24,12:04:22,2026-01-24,2026-01-25,2026-01-25,280.00
145,WT_ZL_260124_00022,正常订单,普通单板套餐,2026-01-24,11:53:56,2026-01-24,2026-01-25,2026-01-25,400.00
146,WT_ZL_260124_00021,正常订单,【单板鞋】其他,2026-01-24,11:30:10,2026-01-24,2026-01-24,2026-01-24,120.00
147,WT_ZL_260124_00020,正常订单,【单板鞋】其他,2026-01-24,11:12:57,2026-01-24,2026-01-25,2026-01-25,230.00
148,WT_ZL_260124_00019,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,11:10:56,2026-01-24,2026-01-25,2026-01-25,360.00
149,WT_ZL_260124_00018,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,10:41:42,2026-01-24,2026-01-24,2026-01-24,220.00
150,WT_ZL_260124_00016,正常订单,【其他】雪杖,2026-01-24,10:17:56,2026-01-24,2026-01-24,2026-01-24,50.00
151,WT_ZL_260124_00014,正常订单,【单板鞋】其他,2026-01-24,09:56:08,2026-01-24,2026-01-24,2026-01-24,120.00
152,WT_ZL_260124_00013,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,09:51:22,2026-01-24,2026-01-25,2026-01-25,360.00
153,WT_ZL_260124_00012,正常订单,中级双板套餐,2026-01-24,09:46:33,2026-01-24,2026-01-24,2026-01-24,200.00
154,WT_ZL_260124_00012,正常订单,中级双板套餐,2026-01-24,09:46:33,2026-01-24,2026-01-24,2026-01-24,200.00
155,WT_ZL_260124_00010,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,09:34:47,2026-01-24,2026-01-25,2026-01-25,360.00
156,WT_ZL_260124_00009,正常订单,【其他】普通单板,2026-01-24,09:24:34,2026-01-24,2026-01-24,2026-01-25,150.00
157,WT_ZL_260124_00009,正常订单,【成人中端】雪服Nandn/Swagli/Trake,2026-01-24,09:24:34,2026-01-24,2026-01-25,2026-01-25,120.00
158,WT_ZL_260124_00007,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,09:19:54,2026-01-24,2026-01-25,2026-01-25,360.00
159,WT_ZL_260124_00005,正常订单,头盔,2026-01-24,09:10:56,2026-01-24,2026-01-25,2026-01-25,130.00
160,WT_ZL_260124_00004,正常订单,雪镜,2026-01-24,09:08:53,2026-01-24,2026-01-24,2026-01-24,70.00
161,WT_ZL_260124_00003,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-24,08:52:42,2026-01-24,2026-01-24,2026-01-24,180.00
162,WT_ZL_260124_00002,正常订单,【双板鞋】全品牌,2026-01-24,08:35:31,2026-01-24,2026-01-24,2026-01-24,120.00
163,WT_ZL_260124_00001,正常订单,雪镜,2026-01-24,08:14:17,2026-01-24,2026-01-25,2026-01-25,120.00
164,NS_ZL_260123_00004,正常订单,小乌龟护膝,2026-01-23,14:22:35,2026-01-23,2026-01-23,2026-01-23,30.00
165,WT_ZL_260123_00014,正常订单,中级双板套餐,2026-01-23,13:40:36,2026-01-23,2026-01-23,2026-01-23,180.00
166,WT_ZL_260123_00013,正常订单,头盔,2026-01-23,13:31:19,2026-01-23,2026-01-23,2026-01-23,70.00
167,NS_ZL_260123_00003,正常订单,【中级】全能板+青少全能,2026-01-23,13:02:48,2026-01-23,2026-01-23,2026-01-23,100.00
168,WT_ZL_260123_00012,正常订单,中级双板套餐,2026-01-23,12:33:58,2026-01-24,2026-01-30,2026-01-30,1260.00
169,WT_ZL_260123_00011,正常订单,【其他】普通单板,2026-01-23,12:19:29,2026-01-23,2026-01-23,2026-01-23,150.00
170,WT_ZL_260123_00010,正常订单,【单板鞋】其他,2026-01-23,11:40:33,2026-01-23,2026-01-23,2026-01-23,120.00
171,WT_ZL_260123_00009,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-23,11:35:11,2026-01-23,2026-01-23,2026-01-23,180.00
172,WT_ZL_260123_00007,正常订单,【其他】普通单板,2026-01-23,10:43:46,2026-01-23,2026-01-23,2026-01-23,180.00
173,WT_ZL_260123_00006,正常订单,高级双板套餐,2026-01-23,10:38:48,2026-01-23,2026-01-23,2026-01-23,100.00
174,WT_ZL_260123_00005,正常订单,【单板鞋】其他,2026-01-23,10:35:40,2026-01-23,2026-01-23,2026-01-23,110.00
175,NS_ZL_260123_00002,正常订单,小乌龟护臀,2026-01-23,10:13:42,2026-01-23,2026-01-23,2026-01-23,50.00
176,NS_ZL_260123_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-23,10:02:59,2026-01-23,2026-01-23,2026-01-23,105.00
177,WT_ZL_260123_00003,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-23,09:58:02,2026-01-23,2026-01-23,2026-01-23,180.00
178,WT_ZL_260123_00002,正常订单,【单板鞋】其他,2026-01-23,09:09:09,2026-01-23,2026-01-23,2026-01-23,120.00
179,WT_ZL_260123_00001,正常订单,中级双板套餐,2026-01-23,08:27:54,2026-01-23,2026-01-23,2026-01-23,180.00
180,WT_ZL_260122_00008,正常订单,【中级】全能板+青少全能,2026-01-22,18:29:02,2026-01-23,2026-01-27,2026-01-27,670.00
181,WT_ZL_260122_00008,正常订单,【中级】全能板+青少全能,2026-01-22,18:29:02,2026-01-23,2026-01-27,2026-01-27,540.00
182,NS_ZL_260122_00004,正常订单,【其他】普通单板,2026-01-22,13:00:30,2026-01-22,2026-01-22,2026-01-22,100.00
183,WT_ZL_260122_00006,正常订单,BurtonStepOn套餐,2026-01-22,11:49:02,2026-01-22,2026-01-22,2026-01-22,400.00
184,WT_ZL_260122_00006,正常订单,普通单板套餐,2026-01-22,11:49:02,2026-01-22,2026-01-22,2026-01-22,230.00
185,WT_ZL_260122_00006,正常订单,【成人中端】雪裤Awka小树/nobaday,2026-01-22,11:49:02,2026-01-22,2026-01-22,2026-01-22,100.00
186,NS_ZL_260122_00003,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-22,10:26:39,2026-01-22,2026-01-22,2026-01-22,150.00
187,WT_ZL_260122_00003,正常订单,普通单板套餐,2026-01-22,10:05:26,2026-01-22,2026-01-22,2026-01-22,150.00
188,WT_ZL_260122_00003,正常订单,【其他】普通单板,2026-01-22,10:05:26,2026-01-22,2026-01-22,2026-01-22,150.00
189,WT_ZL_260122_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-22,09:38:54,2026-01-22,2026-01-22,2026-01-22,180.00
190,NS_ZL_260122_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-22,09:34:47,2026-01-22,2026-01-22,2026-01-22,75.00
191,NS_ZL_260122_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-22,09:29:30,2026-01-22,2026-01-22,2026-01-22,150.00
192,WT_ZL_260122_00001,正常订单,StockLi,2026-01-22,08:27:41,2026-01-22,2026-01-23,2026-01-23,520.00
193,WT_ZL_260122_00001,正常订单,高级双板套餐,2026-01-22,08:27:41,2026-01-22,2026-01-23,2026-01-23,540.00
194,WT_ZL_260121_00009,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-21,14:57:21,2026-01-21,2026-01-23,2026-01-23,540.00
195,WT_ZL_260121_00008,正常订单,【其他】普通单板,2026-01-21,14:54:23,2026-01-22,2026-01-22,2026-01-22,150.00
196,WT_ZL_260121_00007,正常订单,【单板鞋】其他,2026-01-21,14:48:38,2026-01-21,2026-01-22,2026-01-22,220.00
