序号,订单号,订单类型,商品名称,订单日期,订单时间,起租日期,退租日期,结算日期,租金
1,WT_ZL_260131_00030,正常订单,Nandn/Swagli/Trake雪服套装,2026-01-31,19:23:11,2026-01-31,2026-01-31,2026-01-31,100.00
2,WT_ZL_260131_00029,正常订单,手套,2026-01-31,19:07:50,2026-01-31,2026-01-31,2026-01-31,40.00
3,WT_ZL_260131_00028,正常订单,头盔,2026-01-31,18:57:58,2026-01-31,2026-01-31,2026-01-31,60.00
4,NS_ZL_260131_00006,正常订单,小乌龟护膝,2026-01-31,14:54:59,2026-01-31,2026-01-31,2026-01-31,30.00
5,NS_ZL_260131_00005,正常订单,【成人高端】雪服Phenix,2026-01-31,14:35:32,2026-01-31,2026-01-31,2026-01-31,160.00
6,WT_ZL_260131_00022,正常订单,【单板鞋】其他,2026-01-31,13:55:59,2026-01-31,2026-01-31,2026-01-31,110.00
7,NS_ZL_260131_00003,正常订单,【其他】普通单板,2026-01-31,13:20:53,2026-01-31,2026-01-31,2026-01-31,100.00
8,WT_ZL_260131_00016,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-31,12:28:44,2026-01-31,2026-01-31,2026-01-31,180.00
9,WT_ZL_260131_00015,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-31,12:19:17,2026-01-31,2026-01-31,2026-01-31,180.00
10,WT_ZL_260131_00014,正常订单,StockLi,2026-01-31,12:11:02,2026-01-31,2026-01-31,2026-01-31,260.00
11,WT_ZL_260131_00013,正常订单,【单板鞋】其他,2026-01-31,12:06:50,2026-01-31,2026-01-31,2026-01-31,120.00
12,WT_ZL_260131_00009,正常订单,头盔,2026-01-31,10:16:23,2026-01-31,2026-01-31,2026-01-31,70.00
13,WT_ZL_260131_00009,正常订单,雪镜,2026-01-31,10:16:23,2026-01-31,2026-01-31,2026-01-31,70.00
14,WT_ZL_260131_00007,正常订单,【单板鞋】其他,2026-01-31,09:59:59,2026-01-31,2026-01-31,2026-01-31,120.00
15,NS_ZL_260131_00002,正常订单,【成人中端】雪服Awka小树/nobaday,2026-01-31,09:28:06,2026-01-31,2026-01-31,2026-01-31,160.00
16,NS_ZL_260131_00002,正常订单,【成人中端】雪裤Awka小树/nobaday,2026-01-31,09:28:06,2026-01-31,2026-01-31,2026-01-31,140.00
17,NS_ZL_260131_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-31,09:04:16,2026-01-31,2026-01-31,2026-01-31,105.00
18,WT_ZL_260131_00004,正常订单,高级双板套餐,2026-01-31,08:37:38,2026-01-31,2026-01-31,2026-01-31,300.00
19,QJ_ZL_260130_00001,正常订单,中级双板套餐,2026-01-30,18:10:32,2026-01-30,2026-01-31,2026-01-31,200.00
20,QJ_ZL_260130_00001,正常订单,小米对讲机,2026-01-30,18:10:32,2026-01-30,2026-01-31,2026-01-31,210.00
21,QJ_ZL_260130_00001,正常订单,小米对讲机,2026-01-30,18:10:32,2026-01-30,2026-01-31,2026-01-31,184.00
22,WT_ZL_260130_00015,正常订单,普通单板套餐,2026-01-30,17:25:09,2026-01-30,2026-01-30,2026-01-30,200.00
23,WT_ZL_260130_00015,正常订单,头盔,2026-01-30,17:25:09,2026-01-30,2026-01-30,2026-01-30,60.00
24,WT_ZL_260130_00015,正常订单,雪镜,2026-01-30,17:25:09,2026-01-30,2026-01-30,2026-01-30,60.00
25,WT_ZL_260130_00015,正常订单,Nandn/Swagli/Trake雪服套装,2026-01-30,17:25:09,2026-01-30,2026-01-30,2026-01-30,100.00
26,WT_ZL_260130_00015,正常订单,手套,2026-01-30,17:25:09,2026-01-30,2026-01-30,2026-01-30,40.00
27,WT_ZL_260130_00007,正常订单,内穿护膝,2026-01-30,10:44:20,2026-01-30,2026-01-30,2026-01-30,50.00
28,WT_ZL_260130_00006,正常订单,头盔,2026-01-30,10:09:19,2026-01-30,2026-01-30,2026-01-30,70.00
29,WT_ZL_260130_00004,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-30,09:44:50,2026-01-30,2026-01-30,2026-01-30,220.00
30,WT_ZL_260130_00003,正常订单,【其他】雪杖,2026-01-30,08:50:02,2026-01-30,2026-01-30,2026-01-30,50.00
31,WT_ZL_260130_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-30,08:43:28,2026-01-30,2026-01-30,2026-01-30,180.00
32,WT_ZL_260130_00001,正常订单,中级双板套餐,2026-01-30,08:31:55,2026-01-30,2026-01-31,2026-01-31,360.00
33,NS_ZL_260129_00003,正常订单,【其他】普通单板,2026-01-29,17:04:20,2026-01-29,2026-01-29,2026-01-29,100.00
34,WT_ZL_260129_00006,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-29,13:08:14,2026-01-29,2026-01-29,2026-01-30,180.00
35,QJ_ZL_260129_00001,正常订单,【中级】全能板+青少全能,2026-01-29,11:34:41,2026-01-29,2026-01-31,2026-01-31,200.00
36,QJ_ZL_260129_00001,正常订单,【中级】全能板+青少全能,2026-01-29,11:34:41,2026-01-30,2026-01-31,2026-01-31,40.00
37,WT_ZL_260129_00003,正常订单,高级双板套餐,2026-01-29,11:03:42,2026-01-29,2026-01-29,2026-01-29,300.00
38,NS_ZL_260129_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-29,09:54:46,2026-01-29,2026-01-29,2026-01-29,150.00
39,NS_ZL_260129_00001,正常订单,【成人中端】雪服Nandn/Swagli/Trake,2026-01-29,09:16:54,2026-01-29,2026-01-29,2026-01-29,80.00
40,WT_ZL_260129_00001,正常订单,中级双板套餐,2026-01-29,08:28:29,2026-01-29,2026-01-30,2026-01-30,360.00
41,WT_ZL_260129_00001,正常订单,【其他】普通单板,2026-01-29,08:28:29,2026-01-29,2026-01-30,2026-01-30,300.00
42,WT_ZL_260129_00001,正常订单,头盔,2026-01-29,08:28:29,2026-01-29,2026-01-30,2026-01-30,120.00
43,WT_ZL_260129_00001,正常订单,雪镜,2026-01-29,08:28:29,2026-01-29,2026-01-30,2026-01-30,120.00
44,QJ_ZL_260128_00001,正常订单,普通单板套餐,2026-01-28,22:21:52,2026-01-28,2026-01-31,2026-01-31,300.00
45,WT_ZL_260128_00012,正常订单,雪镜,2026-01-28,14:54:49,2026-01-28,2026-01-28,2026-01-28,60.00
46,WT_ZL_260128_00011,正常订单,【成人中端】雪裤Nandn/Swagli/Trake,2026-01-28,13:21:39,2026-01-28,2026-01-28,2026-01-28,60.00
47,NS_ZL_260128_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-28,11:36:15,2026-01-28,2026-01-28,2026-01-28,140.00
48,NS_ZL_260128_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-01-28,11:36:15,2026-01-28,2026-01-28,2026-01-28,140.00
49,WT_ZL_260128_00009,正常订单,【其他】雪杖,2026-01-28,11:32:26,2026-01-28,2026-01-28,2026-01-28,40.00
