序号,订单号,订单类型,商品名称,订单日期,订单时间,起租日期,退租日期,结算日期,租金
1,WT_ZL_251130_00009,正常订单,头盔,2025-11-30,11:17:00,2025-11-30,2025-11-30,2025-11-30,70.00
2,WT_ZL_251130_00007,正常订单,普通单板套餐,2025-11-30,10:43:07,2025-11-30,2025-11-30,2025-11-30,230.00
3,WT_ZL_251130_00005,正常订单,头盔,2025-11-30,09:10:05,2025-11-30,2025-11-30,2025-11-30,70.00
4,WT_ZL_251130_00003,正常订单,【单板鞋】其他,2025-11-30,08:45:47,2025-11-30,2025-11-30,2025-11-30,120.00
5,WT_ZL_251130_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2025-11-30,08:40:40,2025-11-30,2025-11-30,2025-11-30,180.00
6,WT_ZL_251130_00001,正常订单,【双板鞋】全品牌,2025-11-30,08:25:00,2025-11-30,2025-11-30,2025-11-30,120.00
7,WT_ZL_251129_00023,正常订单,【成人中端】雪服Nandn/Swagli/Trake,2025-11-29,18:50:56,2025-11-29,2025-11-29,2025-11-29,80.00
8,WT_ZL_251129_00022,正常订单,【高级】民用高级+青少竞技+公园野雪,2025-11-29,18:23:51,2025-11-29,2025-11-30,2025-11-29,180.00
9,WT_ZL_251129_00021,正常订单,Nandn/Swagli/Trake雪服套装,2025-11-29,17:28:15,2025-11-29,2025-11-29,2025-11-29,100.00
10,WT_ZL_251129_00020,正常订单,【单板鞋】其他,2025-11-29,14:37:15,2025-11-29,2025-11-29,2025-11-29,110.00
11,WT_ZL_251129_00018,正常订单,【高级】民用高级+青少竞技+公园野雪,2025-11-29,12:57:03,2025-11-29,2025-11-30,2025-11-30,400.00
12,WT_ZL_251129_00017,正常订单,【其他】普通单板,2025-11-29,12:40:24,2025-11-29,2025-11-29,2025-11-29,150.00
13,WT_ZL_251129_00016,正常订单,【单板鞋】其他,2025-11-29,12:30:37,2025-11-29,2025-11-29,2025-11-29,120.00
14,WT_ZL_251129_00014,正常订单,【其他】雪杖,2025-11-29,11:53:51,2025-11-29,2025-11-29,2025-11-29,50.00
15,WT_ZL_251129_00013,正常订单,【双板鞋】全品牌,2025-11-29,11:45:50,2025-11-29,2025-11-30,2025-11-30,240.00
16,QJ_ZL_251129_00001,正常订单,普通单板套餐,2025-11-29,11:45:41,2025-11-29,2025-11-30,2025-11-30,200.00
17,QJ_ZL_251129_00001,正常订单,【其他】普通单板,2025-11-29,11:45:41,2025-11-29,2025-11-30,2025-11-30,80.00
18,QJ_ZL_251129_00001,正常订单,普通单板套餐,2025-11-29,11:45:41,2025-11-29,2025-11-30,2025-11-30,200.00
19,WT_ZL_251129_00012,正常订单,高级双板套餐,2025-11-29,10:34:45,2025-11-29,2025-11-30,2025-11-30,540.00
20,WT_ZL_251129_00011,正常订单,【单板鞋】BurtonStepOn,2025-11-29,10:12:12,2025-11-29,2025-11-29,2025-11-29,180.00
21,WT_ZL_251129_00010,正常订单,StockLi,2025-11-29,10:07:24,2025-11-29,2025-11-30,2025-11-30,520.00
22,WT_ZL_251129_00009,正常订单,【其他】雪杖,2025-11-29,10:03:00,2025-11-29,2025-11-29,2025-11-29,50.00
23,WT_ZL_251129_00008,正常订单,【成人中端】雪服Awka小树/nobaday,2025-11-29,09:51:49,2025-11-29,2025-11-29,2025-11-29,80.00
24,WT_ZL_251129_00008,正常订单,小乌龟护臀,2025-11-29,09:51:49,2025-11-29,2025-11-29,2025-11-29,50.00
25,WT_ZL_251129_00007,正常订单,高级双板套餐,2025-11-29,09:35:51,2025-11-29,2025-11-30,2025-11-30,540.00
26,WT_ZL_251129_00005,正常订单,【高级】民用高级+青少竞技+公园野雪,2025-11-29,09:33:38,2025-11-29,2025-11-29,2025-11-29,220.00
27,WT_ZL_251129_00006,正常订单,【高级】民用高级+青少竞技+公园野雪,2025-11-29,09:33:31,2025-11-29,2025-11-29,2025-11-29,220.00
28,WT_ZL_251129_00004,正常订单,中级双板套餐,2025-11-29,09:18:30,2025-11-29,2025-11-30,2025-11-30,360.00
29,WT_ZL_251129_00004,正常订单,中级双板套餐,2025-11-29,09:18:30,2025-11-29,2025-11-30,2025-11-30,360.00
30,WT_ZL_251129_00003,正常订单,【中级】全能板+青少全能,2025-11-29,08:50:42,2025-11-29,2025-11-29,2025-11-29,150.00
